City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,elektrogorsk,55.8794,38.7919,266.94,84,88,2.56,RU,1733436104
325,kalifornsky,60.4183,-151.29,273.34,97,75,2.06,US,1733436106
326,tindouf,27.6711,-8.1474,291.4,25,0,2.06,DZ,1733436107
327,kavieng,-2.5744,150.7967,300.82,83,100,7.82,PG,1733436110
328,yanchep,-31.55,115.6833,289.13,67,0,5.04,AU,1733436111
329,bhamo,24.2667,97.2333,287.35,78,0,0.58,MM,1733436113
330,olyokminsk,60.3736,120.4264,251.7,92,100,2.28,RU,1733436114
331,ghadamis,30.1337,9.5007,284.76,46,26,4.93,LY,1733436115
332,borazjan,29.2666,51.2159,292.4,49,32,0.78,IR,1733436117
333,mugia,43.1041,-9.2179,288.97,93,97,5.79,ES,1733436118
334,sinop,41.7711,34.8709,276.98,90,77,2.99,TR,1733436119
335,tchaourou,8.8865,2.5975,296.77,22,52,2.3,BJ,1733436120
336,nantucket,41.2835,-70.0995,276.01,81,100,6.69,US,1733436122
337,ak-dovurak,51.1833,90.6,261.9,83,11,1.22,RU,1733436123
338,balkanabat,39.5108,54.3671,279.9,60,31,1.95,TM,1733436124
339,atar,20.5169,-13.0499,298.4,12,100,7.88,MR,1733436125
340,seminole,28.7086,-81.2081,292.6,60,0,3.09,US,1733436127
341,tomatlan,19.9333,-105.25,304.59,38,8,2.68,MX,1733436128
342,nizhneudinsk,54.9076,99.0276,267.35,91,100,1.33,RU,1733436129
343,rio grande,-32.035,-52.0986,293.9,81,2,5.04,BR,1733436131
344,machico,32.7,-16.7667,292.99,73,40,4.63,PT,1733436132
345,kudahuvadhoo,2.6708,72.8944,301.77,64,96,4.23,MV,1733436134
346,yemva,62.59,50.8594,261.99,93,25,2.71,RU,1733436136
347,minas de marcona,-15.2119,-75.1103,289.97,77,49,8.29,PE,1733436137
348,yeonggwang,35.275,126.5094,280.94,61,100,5.51,KR,1733436138
349,aizawl,23.7333,92.7167,282.48,81,5,1.28,IN,1733436140
350,haining,30.5363,120.6864,281.37,83,100,0.92,CN,1733436141
351,qamdo,31.1667,97.2333,267.73,53,0,1.17,CN,1733436142
352,wulingyuan,29.3494,110.5441,278.62,83,92,0.38,CN,1733436143
353,codrington,-38.2667,141.9667,291.86,72,100,1.61,AU,1733436145
354,sharm el-sheikh,27.8518,34.305,293.23,56,0,3.6,EG,1733436146
355,hammerfest,70.6634,23.6821,270.4,74,0,2.57,NO,1733436147
356,smithers,54.7804,-127.1743,277.33,100,75,2.06,CA,1733436149
357,tabatinga,-4.2525,-69.9381,299.85,83,75,3.09,BR,1733436150
358,san antonio de pale,-1.4014,5.6325,299.63,80,30,4.69,GQ,1733436151
359,rabo de peixe,37.8,-25.5833,290.92,99,75,4.63,PT,1733436152
360,praia da vitoria,38.7333,-27.0667,291.29,88,40,7.33,PT,1733436154
361,fortuna,40.5982,-124.1573,288.34,67,0,5.66,US,1733436155
362,baharly,38.4362,57.4316,278.08,69,38,2.3,TM,1733436156
363,luwuk,-0.9516,122.7875,296.19,93,100,1.31,ID,1733436157
364,fukuecho,32.6881,128.8419,286.72,57,100,8.66,JP,1733436159
